stop_name,stop_id,stop_lat,stop_lon
Depot-18 White Field,sp,12.97686,77.72596
Depot-19 Electronic City,6ge,12.8474,77.67229
Depot-20 Banashankari,6v,12.91871,77.57086
Depot-21 BEML Layout,12i,12.90673,77.52042
Depot-22 Peenya,2u6,13.01975,77.50193
Depot-23 Kalyana Nagara,1va,13.02655,77.63895
Depot-24 Gate,61u,13.00341,77.6825
Depot-24 Gate,6jl,13.00331,77.6825
Depot-24 ITI Layout,kn,13.00163,77.68359
Depot-25 Gate,1f5,12.91936,77.64255
Depot-25 Gate,2vq,12.91956,77.64495
Depot-25 Gate (Central Silk Board),4dw,12.91952,77.64294
Depot-25 HSR Layout,je,12.91986,77.64457
Depot-26 Yeshawanthapura,5e9,13.0186,77.55537
Depot-27 Gate,3yf,12.78003,77.63445
Depot-27 Gate,46j,12.7801,77.63448
Depot-27 Jigani,19d,12.78019,77.63446
Depot-28 Hebbala,3b0,13.04355,77.59335
Depot-29 KR Puram,651,13.00444,77.69175
Depot-30 Puttenahalli,414,13.11009,77.57762
Depot-31 Gate,2qv,12.99311,77.5213
Depot-31 Gate,2t9,12.99306,77.52146
Depot-31 Summanahalli,hy,12.99285,77.52221
Depot-32 Suryacity,2h4,12.79047,77.70677
Depot-33 Poornapragna layout,10v,12.90974,77.53606
Depot-34 Gate,6d9,12.87021,77.58571
Depot-34 Gate,ku,12.87023,77.58567
Depot-34 Kottanur,6g1,12.87168,77.58616
Depot-35 Gate,1s,12.9726,77.44268
Depot-35 Kannalli,40p,12.97253,77.44263
Depot-36 Bidadi,1g3,12.76888,77.41428
Depot-36 Gate,1db,12.7684,77.41397
Depot-36 Gate,1gq,12.76845,77.41403
Depot-37 Kengeri,189,12.91344,77.48793
Depot-38 Chikkanagamangala,49k,12.85019,77.69176
Depot-38 Gate,2ir,12.84902,77.69251
Depot-38 Gate,2qx,12.84901,77.69247
Depot-39 Gate,2ec,13.06905,77.78178
Depot-39 Hoskote,5ch,13.06832,77.78173
Depot-40 Dasanapura,5xg,13.07402,77.44491
Depot-40 Gate,2zx,13.06872,77.44766
Depot-41 Gate,2ob,12.9213,77.74239
Depot-41 Gate,jc,12.92131,77.74234
Depot-41 Gunjuru,4f8,12.92231,77.7433
Depot-42 Gate  Arrival,5z6,12.89538,77.70565
Depot-42 Gate Departure,1y6,12.89553,77.7057
Depot-42 Kodathi,3ui,12.89596,77.7041
Depot-43 Gate,1lr,13.06595,77.42564
Depot-43 Gate,4e2,13.06565,77.4255
Depot-43 Shivanapura,61y,13.0668,77.42575
Depot-44 Anjanapura,6j6,12.85538,77.56969
Depot-45 Gate,1i,13.0829,77.55072
Depot-45 Gate,33v,13.08298,77.55066
Depot-45 MS Palya,u9,13.08431,77.55046
Depot-46 Gate,nu,13.18748,77.5634
Depot-46 Sadenahalli,5ie,13.18393,77.56681
Depot-47 Gate,3vq,13.08467,77.73201
Depot-47 Manduru,3or,13.08535,77.73146
Depot-48 Byrathibande,9v,13.07668,77.65422
Depot-48 Gate,40n,13.07752,77.65472
Depot-48 Gate,tn,13.07756,77.65467
Depot-49 Bidadi,1vl,12.80177,77.39285
Depot-50 Devanahalli,3jw,13.24698,77.71744
Depot-51 Sadaramangala,30h,12.99672,77.72654
Depot-51 Sadaramangala Arrival,4ls,12.99596,77.72624
Depot-51 Sadaramangala Departure,hg,12.99606,77.72622
Depot-52 Arrival,3y,13.15738,77.65908
Depot-52 Departure,5oc,13.15742,77.65912
Depot-52 Huttanahalli,5zn,13.15723,77.65873
Depot-9,1yx,13.02036,77.50051
Deshnarayanaswamy Temple,5ca,13.13719,77.74576
Deshnarayanaswamy Temple,7u,13.13726,77.74569
Design Global Mavallipura,227,13.1313,77.53093
Design Global Mavallipura,24f,13.13126,77.53097
Deva Machohalli Cross,20h,12.96552,77.3811
Deva Machohalli Cross,2y6,12.96536,77.38112
Devadiga Soudha,2j0,12.92658,77.52002
Devadiga Soudha,554,12.9265,77.51998
Devaganahalli,5ne,13.2531,77.64887
Devaganahalli,a8,13.25331,77.64888
Devagere,3e5,12.85669,77.46556
Devagere,5rg,12.85653,77.4657
Devagere Colony,2an,12.85357,77.45801
Devagere Colony,4yk,12.85346,77.45795
Devagere Cross,4b6,12.86428,77.45713
Devagere Cross,6gs,12.86431,77.45713
Devaiah Park,4uq,12.99628,77.56424
Devaiah Park,5z7,12.99642,77.56419
Devalapura,3to,12.98457,77.82944
Devalapura,55j,12.98466,77.82936
Devalapura Circle,3li,12.98272,77.82842
Devalapura Circle,59z,12.98268,77.82829
Devalapura Circle,5sv,12.98277,77.82836
Devanagondi,1qe,12.97407,77.83869
Devanagondi,521,12.97405,77.83873
Devanagondi IOC,3zz,12.98789,77.83736
Devanagondi IOC,fp,12.98799,77.83728
Devanagondi LPG,5gb,12.98996,77.83009
Devanagondi LPG,6g8,12.98996,77.83018
Devanagondi Railway Station,2np,12.98534,77.82956
Devanagondi Railway Station,4co,12.98547,77.82975
Devanagundi Cross,4a1,13.06044,77.82737
Devanagundi Cross,4r0,13.06038,77.82715
Devanahalli Bypass NH-7,1oz,13.24207,77.70346
Devanahalli Bypass NH-7,3d3,13.24231,77.70399
Devanahalli Cross Sulibele,3aa,13.18495,77.79797
Devanahalli Cross Sulibele,3jm,13.18487,77.79804
Devanahalli Cross Sulibele,4y0,13.18482,77.79795
Devanahalli Govt Hospital,3m3,13.25751,77.72657
Devanahalli Govt Hospital,533,13.25748,77.72655
Devanahalli New Bus Station,1y9,13.24528,77.71281
Devanahalli New Bus Station,5qu,13.24543,77.71274
Devanahalli Old Bus Stand,1m1,13.24853,77.71547
Devanahalli Old Bus Stand,2n1,13.24845,77.7156
Devanahalli Talluk Office,1be,13.24363,77.70877
Devanahalli Talluk Office,wq,13.24358,77.70893
Devaninjayyanapalya,2t7,13.01712,77.41453
Devannanapalya,3wa,13.07734,77.43133
Devannanapalya,4a0,13.07769,77.43139
Devarabisanahalli Ring Road,134,12.93218,77.68729
Devarabisanahalli Ring Road,18d,12.93145,77.68686
Devarachikkanahalli,1ct,12.88899,77.61555
Devarachikkanahalli,cn,12.88887,77.61556
Devarahalli Cross,5by,13.2405,77.61094
Devarahalli Cross,5ut,13.24054,77.61099
Devasandra,2ky,13.00621,77.70012
Devasandra,6ml,13.00618,77.70009
Devasandra Chikkamaranahalli,140,13.03638,77.56656
Devasandra Chikkamaranahalli,1ua,13.03636,77.5664
Devashettyhalli,2va,13.02419,77.82104
Devashettyhalli,5de,13.02425,77.82109
Devasthana Bidluru,1t8,13.27827,77.68983
Devasthana Bidluru,4ld,13.27826,77.68979
Devasthana Kariapppana Doddy,vd,12.78713,77.37567
Devegowda Hospital,1lz,12.92041,77.55998
Devegowda Hospital,20f,12.92053,77.56002
Devegowda Petrol Bunk,1fu,12.9227,77.56033
Devegowda Petrol Bunk,1ta,12.92194,77.55914
Devegowda Petrol Bunk,21f,12.92189,77.56058
Devegowda Petrol Bunk,2yc,12.92141,77.56027
Devinagara Cross,2ja,13.04692,77.5692
Devinagara Cross,3x6,13.047,77.56904
Devis Road,17g,13.00426,77.61968
Devis Road,5f6,13.00327,77.61899
Dhaba Gate,55r,13.22644,77.68707
Dhaba Gate,6on,13.22638,77.68726
Dhananayakanahalli,2pp,12.93885,77.46781
Dharma Nayakana Tandya,5d3,13.03018,77.34885
Dharma Nayakana Tandya,5sa,13.03025,77.34879
Dharmapura,106,13.26839,77.80073
Dharmapura,4io,12.81294,77.62756
Dharmapura,4j5,13.26845,77.80071
Dharmapura,4vv,12.81279,77.62759
Dharmapura Cross,1kc,13.26441,77.80908
Dharmapura Cross,3yp,13.26444,77.80912
Dharmapura Gate,1jd,13.28387,77.80407
Dharmapura Gate,x,13.28389,77.80409
Dhobi Ghat Rajajinagara,3oi,12.98721,77.55089
Dhobi Ghat Rajajinagara,61x,12.98565,77.54912
Dhobi Ghat Rajajinagara,6bn,12.98701,77.55087
Dhobi Ghat Rajajinagara,g4,12.98551,77.54934
Dhoopanahalli,28g,12.96354,77.64156
Dhoopanahalli,51d,12.96336,77.64146
Dhoopanahalli,u3,12.96342,77.64169
Diacon Hospital,3px,13.00398,77.55002
Diacon Hospital,6bq,13.00379,77.55003
Dibbur,44l,13.16685,77.5288
Dibbur,5ez,13.16687,77.52876
Dickenson Road,5gv,12.98081,77.61058
Dickenson Road,60a,12.98086,77.61073
Dinnepalya,5oe,12.81119,77.49239
Dinnepalya,xd,12.81121,77.49244
Dinnur,22w,12.99159,77.7515
Dinnur,2es,13.25266,77.80192
Dinnur,406,12.99165,77.75146
Dinnur,4uv,13.25255,77.80198
Dinnur Cross,30x,13.25083,77.80129
Dinnur Cross,4fd,13.25085,77.80137
Dinnur Main Road,62,13.02401,77.59884
Dinnur Main Road,pa,13.02395,77.5989
Dinnur Sudhamanagara,3n7,12.71445,77.70591
Dinnur Sudhamanagara,4bf,12.71452,77.70584
Diwanarapalya,4lh,13.02679,77.56182
Diwanarapalya,5ug,13.02674,77.5618
Doctors Layout Kasturinagara,1px,13.00611,77.65951
Doctors Layout Kasturinagara,4zg,13.00609,77.65948
Dodda Aladamara,444,12.90999,77.39551
Dodda Aladamara,4s3,12.90992,77.39537
Dodda Aladamara Cross,1e0,12.96391,77.40741
Dodda Aladamara Cross,3rx,12.96386,77.40744
Dodda Basti,30m,12.93956,77.47289
Dodda Basti,3s6,12.93967,77.47298
Dodda Bettahalli,462,13.09433,77.5542
Dodda Bettahalli,4cg,13.0943,77.55426
Dodda Bommasandra,5z4,13.06065,77.55889
Dodda Bommasandra,6ox,13.06022,77.55886
Dodda Bommasandra Arch,45a,13.05884,77.55928
Dodda Bommasandra Arch,52n,13.05835,77.5591
Dodda Byalakere,135,13.11275,77.52495
Dodda Byalakere,22v,13.11267,77.52494
Dodda Byalakere,2aq,13.11354,77.52473
Dodda Byalakere,3pk,13.1135,77.52464
Dodda Cheemanahalli,2xi,13.24782,77.622
Dodda Cheemanahalli,4vt,13.24783,77.62204
Dodda Cheemanahalli Cross,2wb,13.25053,77.62394
Dodda Cheemanahalli Cross,6ia,13.2505,77.62393
Dodda Dasarahalli,1wb,13.00462,77.8308
Dodda Dasarahalli,3sh,13.00454,77.83087
Dodda Dasarahalli Cross,1us,12.99821,77.84148
Dodda Dasarahalli Cross,vx,12.99815,77.84145
Dodda Dunnasandra,47a,12.97683,77.81661
Dodda Dunnasandra,4t9,12.97685,77.81653
Dodda Dunnasandra Cross,1uy,12.97599,77.82056
Dodda Dunnasandra Cross,225,12.97608,77.82017
Dodda Dunnasandra Cross,27,12.97585,77.82046
Dodda Gubbi,2uq,13.07146,77.67375
Dodda Gubbi,5ds,13.07093,77.67401
Dodda Gubbi,vk,13.07144,77.67359
Dodda Hagade,50n,12.74684,77.6892
Dodda Hagade,5me,12.74688,77.68924
Dodda Hullur Gate,3lk,13.10189,77.82166
Dodda Hullur Gate,6di,13.10193,77.82162
Dodda Hulluru School Gate,531,13.0973,77.81685
Dodda Hulluru School Gate,5os,13.09719,77.81684
Dodda Kurabarahalli,3xr,13.22553,77.8092
Dodda Kurabarahalli,5wm,13.22559,77.80913
Dodda Maralawadi,ee,12.61221,77.52529
Dodda Nagamangala,615,12.86231,77.67491
Dodda Nagamangala,6no,12.86238,77.67481
Dodda Nagamangala Tirumala Bekary,5d4,12.86224,77.67794
Dodda Nagamangala Tirumala Bekary,5q4,12.8623,77.67814
Dodda Nallala,524,13.08402,77.89655
Dodda Nekkundi,594,12.97146,77.69418
Dodda Nekkundi,62k,12.97154,77.69429
Dodda Nekkundi Bridge/Rainbow Hospital,2nu,12.97565,77.697
Dodda Nekkundi Bridge/Rainbow Hospital,3cs,12.97499,77.69764
Dodda Nekkundi Cross,20s,12.96793,77.6933
Dodda Nekkundi Cross,ig,12.96796,77.6934
